instance_id,problem,domain,budget,bounds,dim_or_n,algo_variant,algo_base,run_id,seed,best_value,best_eval,target,success
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,5,50000413,2.0,451,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,6,50000414,3.0,417,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,7,50000415,4.0,406,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,8,50000416,3.0,343,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,9,50000417,4.0,488,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,10,50000418,4.0,396,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,11,50000419,5.0,348,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,12,50000420,3.0,407,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,13,50000421,4.0,404,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,14,50000422,2.0,475,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,15,50000423,5.0,422,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,16,50000424,3.0,401,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,17,50000425,3.0,311,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,18,50000426,3.0,440,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,19,50000427,1.0,402,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,20,50000428,2.0,360,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,21,50000429,4.0,345,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,22,50000430,2.0,480,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,23,50000431,3.0,315,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,24,50000432,3.0,481,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,25,50000433,3.0,455,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,26,50000434,1.0,428,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,27,50000435,5.0,417,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,28,50000436,4.0,266,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,29,50000437,4.0,264,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"GA(pop=50,pc=0.9,pm=0.02)",GA,0,50000659,11.0,499,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"GA(pop=50,pc=0.9,pm=0.02)",GA,1,50000660,10.0,460,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"GA(pop=50,pc=0.9,pm=0.02)",GA,2,50000661,12.0,319,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"GA(pop=50,pc=0.9,pm=0.02)",GA,3,50000662,10.0,446,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"GA(pop=50,pc=0.9,pm=0.02)",GA,4,50000663,8.0,466,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"GA(pop=50,pc=0.9,pm=0.02)",GA,5,50000664,10.0,323,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"GA(pop=50,pc=0.9,pm=0.02)",GA,6,50000665,10.0,492,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"GA(pop=50,pc=0.9,pm=0.02)",GA,7,50000666,11.0,482,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"GA(pop=50,pc=0.9,pm=0.02)",GA,8,50000667,8.0,434,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"GA(pop=50,pc=0.9,pm=0.02)",GA,9,50000668,11.0,464,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"GA(pop=50,pc=0.9,pm=0.02)",GA,10,50000669,8.0,464,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"GA(pop=50,pc=0.9,pm=0.02)",GA,11,50000670,9.0,444,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"GA(pop=50,pc=0.9,pm=0.02)",GA,12,50000671,9.0,410,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"GA(pop=50,pc=0.9,pm=0.02)",GA,13,50000672,6.0,433,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"GA(pop=50,pc=0.9,pm=0.02)",GA,14,50000673,10.0,443,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"GA(pop=50,pc=0.9,pm=0.02)",GA,15,50000674,7.0,459,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"GA(pop=50,pc=0.9,pm=0.02)",GA,16,50000675,10.0,337,0.0,0
