domain,group_type,size_bin,budget,instance_id,policy_algo,baseline_algo,oracle_value,policy_value,baseline_value,policy_regret,baseline_regret
tsp,clustered,n>60,2000,tsp_clustered_n80_0011,SA,2OPT,4.659294875430931,4.659294875430931,4.803615760996353,0.0,0.14432088556542144
tsp,clustered,n>60,10000,tsp_clustered_n80_0011,SA,2OPT,4.469438576647772,4.469438576647772,4.5097790696425255,0.0,0.04034049299475306
tsp,clustered,n>60,2000,tsp_clustered_n80_0017,SA,2OPT,5.344399033138129,5.344399033138129,5.347473464866016,0.0,0.003074431727887017
tsp,clustered,n>60,10000,tsp_clustered_n80_0017,SA,2OPT,5.215047513688506,5.215047513688506,5.267099721193081,0.0,0.052052207504575065
tsp,clustered,n>60,2000,tsp_clustered_n80_0023,SA,2OPT,3.9270067026414104,3.9270067026414104,4.086566267055765,0.0,0.15955956441435504
tsp,clustered,n>60,10000,tsp_clustered_n80_0023,SA,2OPT,3.833687000926883,3.833687000926883,3.8551251515298284,0.0,0.021438150602945516
tsp,clustered,n>60,2000,tsp_clustered_n80_0029,SA,2OPT,4.136902402871129,4.1532477254275815,4.136902402871129,0.016345322556452047,0.0
tsp,clustered,n>60,10000,tsp_clustered_n80_0029,SA,2OPT,3.8391596598277316,3.8391596598277316,3.8982953165864638,0.0,0.059135656758732225
tsp,uniform,n<=30,2000,tsp_uniform_n20_0000,2OPT,2OPT,3.846320439400036,3.858876356408622,3.858876356408622,0.01255591700858627,0.01255591700858627
tsp,uniform,n<=30,10000,tsp_uniform_n20_0000,2OPT,2OPT,3.8122377667183556,3.8122377667183556,3.8122377667183556,0.0,0.0
tsp,uniform,n<=30,2000,tsp_uniform_n20_0006,2OPT,2OPT,3.0143722643612745,3.0143722643612745,3.0143722643612745,0.0,0.0
tsp,uniform,n<=30,10000,tsp_uniform_n20_0006,2OPT,2OPT,3.0143722643612745,3.0143722643612745,3.0143722643612745,0.0,0.0
tsp,uniform,n<=30,2000,tsp_uniform_n20_0012,2OPT,2OPT,3.827737665332512,3.827737665332512,3.827737665332512,0.0,0.0
tsp,uniform,n<=30,10000,tsp_uniform_n20_0012,2OPT,2OPT,3.7863321139647965,3.7863321139647965,3.7863321139647965,0.0,0.0
tsp,uniform,n<=30,2000,tsp_uniform_n20_0018,2OPT,2OPT,3.5031626580482977,3.5031626580482977,3.5031626580482977,0.0,0.0
tsp,uniform,n<=30,10000,tsp_uniform_n20_0018,2OPT,2OPT,3.4516177399015957,3.4516177399015957,3.4516177399015957,0.0,0.0
tsp,uniform,n<=30,2000,tsp_uniform_n20_0024,2OPT,2OPT,4.1508841443012905,4.1508841443012905,4.1508841443012905,0.0,0.0
tsp,uniform,n<=30,10000,tsp_uniform_n20_0024,2OPT,2OPT,4.132830378490274,4.132830378490274,4.132830378490274,0.0,0.0
tsp,uniform,n<=60,2000,tsp_uniform_n40_0002,2OPT,2OPT,5.309068975429307,5.309068975429307,5.309068975429307,0.0,0.0
tsp,uniform,n<=60,10000,tsp_uniform_n40_0002,2OPT,2OPT,5.200788366695096,5.2152833494860475,5.2152833494860475,0.014494982790951738,0.014494982790951738
tsp,uniform,n<=60,2000,tsp_uniform_n40_0008,2OPT,2OPT,5.040227361075133,5.068635477069208,5.068635477069208,0.028408115994074556,0.028408115994074556
tsp,uniform,n<=60,10000,tsp_uniform_n40_0008,2OPT,2OPT,4.784015048106377,4.784015048106377,4.784015048106377,0.0,0.0
tsp,uniform,n<=60,2000,tsp_uniform_n40_0014,2OPT,2OPT,5.728877051614632,5.728877051614632,5.728877051614632,0.0,0.0
tsp,uniform,n<=60,10000,tsp_uniform_n40_0014,2OPT,2OPT,5.462847487634295,5.462847487634295,5.462847487634295,0.0,0.0
tsp,uniform,n<=60,2000,tsp_uniform_n40_0020,2OPT,2OPT,5.414811928718524,5.414811928718524,5.414811928718524,0.0,0.0
tsp,uniform,n<=60,10000,tsp_uniform_n40_0020,2OPT,2OPT,5.277541952394371,5.277541952394371,5.277541952394371,0.0,0.0
tsp,uniform,n<=60,2000,tsp_uniform_n40_0026,2OPT,2OPT,5.2070862845804795,5.251380066675848,5.251380066675848,0.044293782095368606,0.044293782095368606
tsp,uniform,n<=60,10000,tsp_uniform_n40_0026,2OPT,2OPT,5.12951660242527,5.1421269880602285,5.1421269880602285,0.012610385634958199,0.012610385634958199
tsp,uniform,n>60,2000,tsp_uniform_n80_0004,2OPT,2OPT,7.808848325597346,7.990030119243724,7.990030119243724,0.18118179364637843,0.18118179364637843
tsp,uniform,n>60,10000,tsp_uniform_n80_0004,SA,2OPT,7.520882079518758,7.520882079518758,7.608544305769387,0.0,0.0876622262506288
tsp,uniform,n>60,2000,tsp_uniform_n80_0010,2OPT,2OPT,7.827698862209658,8.03381021121504,8.03381021121504,0.20611134900538097,0.20611134900538097
tsp,uniform,n>60,10000,tsp_uniform_n80_0010,SA,2OPT,7.361892950713431,7.361892950713431,7.448144408785685,0.0,0.08625145807225465
tsp,uniform,n>60,2000,tsp_uniform_n80_0016,2OPT,2OPT,7.331734741654708,7.331734741654708,7.331734741654708,0.0,0.0
tsp,uniform,n>60,10000,tsp_uniform_n80_0016,SA,2OPT,7.12593233064022,7.12593233064022,7.144326409963876,0.0,0.018394079323655887
tsp,uniform,n>60,2000,tsp_uniform_n80_0022,2OPT,2OPT,7.141457787974879,7.141457787974879,7.141457787974879,0.0,0.0
tsp,uniform,n>60,10000,tsp_uniform_n80_0022,SA,2OPT,6.931678083003253,6.939059863927615,6.931678083003253,0.007381780924362147,0.0
tsp,uniform,n>60,2000,tsp_uniform_n80_0028,2OPT,2OPT,7.984972459945189,7.984972459945189,7.984972459945189,0.0,0.0
tsp,uniform,n>60,10000,tsp_uniform_n80_0028,SA,2OPT,7.774300025293391,7.774300025293391,7.934070360686699,0.0,0.15977033539330865
