domain,problem,instance_id,lambda,algo_variant,budget,rep,seed,evals,best
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,5000,5,221583926000000,5000,7.578519441136068e-26
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,5000,6,221911607000000,5000,1.1256686546969254e-25
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,5000,7,222239288000000,5000,3.738887686982599e-26
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,5000,8,222566969000000,5000,1.1856305511379017e-25
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,5000,9,222894650000000,5000,1.1754109220849556e-25
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,10000,0,647895645000000,10000,6.818519440795034e-26
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,10000,1,648223326000000,10000,7.205793755001568e-26
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,10000,2,648551007000000,10000,3.515524233593461e-26
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,10000,3,648878688000000,10000,6.341445048156731e-26
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,10000,4,649206369000000,10000,8.338698444171635e-26
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,10000,5,649534050000000,10000,6.84519801506616e-26
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,10000,6,649861731000000,10000,6.204926719538295e-26
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,10000,7,650189412000000,10000,8.695177487842457e-26
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,10000,8,650517093000000,10000,8.662612201994714e-26
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,10000,9,650844774000000,10000,5.70470089564406e-26
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,300,0,463557364000000,300,0.45329389264912934
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,300,1,463885045000000,300,0.16847592219852583
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,300,2,464212726000000,300,0.4827642955312291
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,300,3,464540407000000,300,0.7778560008011486
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,300,4,464868088000000,300,0.16613508939643923
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,300,5,465195769000000,300,0.33532239298940864
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,300,6,465523450000000,300,0.4969599983270952
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,300,7,465851131000000,300,0.21771639386906355
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,300,8,466178812000000,300,0.1720408557818612
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,300,9,466506493000000,300,0.3544218423789055
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,500,0,464737014000000,480,0.6788056605955975
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,500,1,465064695000000,480,0.41540884318304266
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,500,2,465392376000000,480,0.07051037721865219
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,500,3,465720057000000,480,0.09896314921578905
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,500,4,466047738000000,480,0.3433812534764138
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,500,5,466375419000000,480,0.33819084216711304
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,500,6,466703100000000,480,0.27569043482045014
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,500,7,467030781000000,480,0.20577172800155205
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,500,8,467358462000000,480,0.2758777766733311
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,500,9,467686143000000,480,0.15216995981031128
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,800,0,466506489000000,780,0.03860805428706172
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,800,1,466834170000000,780,0.030861475390730215
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,800,2,467161851000000,780,0.07091382282248308
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,800,3,467489532000000,780,0.018784408841046214
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,800,4,467817213000000,780,0.03356145304565143
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,800,5,468144894000000,780,0.012067007686017168
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,800,6,468472575000000,780,0.07681896712870417
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,800,7,468800256000000,780,0.06893635063692566
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,800,8,469127937000000,780,1.0098946667607123
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,800,9,469455618000000,780,0.8608138439287399
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,1000,0,939414306000000,990,0.007086711941195908
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,1000,1,939741987000000,990,0.02593606413051959
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,1000,2,940069668000000,990,0.004051846982800638
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,1000,3,940397349000000,990,0.020345741763016605
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,1000,4,940725030000000,990,0.007641833073924247
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,1000,5,941052711000000,990,0.2643881084116534
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,1000,6,941380392000000,990,0.09031423064706981
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,1000,7,941708073000000,990,0.011607046010178687
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,1000,8,942035754000000,990,0.023094393789228226
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,1000,9,942363435000000,990,0.006869725403298377
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,2000,0,940069667000000,1980,3.409581845190996e-05
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,2000,1,940397348000000,1980,0.00017251346554818378
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,2000,2,940725029000000,1980,0.00019669386962291522
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,2000,3,941052710000000,1980,0.00042439223846952006
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,2000,4,941380391000000,1980,1.281632832878682e-05
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,2000,5,941708072000000,1980,0.00012150623255528053
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,2000,6,942035753000000,1980,9.075716594679016e-05
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,2000,7,942363434000000,1980,0.00017706695203093006
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,2000,8,942691115000000,1980,0.00036621507599034344
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,2000,9,943018796000000,1980,0.00020306919603307167
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,5000,0,942035750000000,4980,3.5098995259525492e-09
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,5000,1,942363431000000,4980,1.4897932290271986e-09
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,5000,2,942691112000000,4980,1.0060927414696916e-10
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,5000,3,943018793000000,4980,5.5505514813365154e-09
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,5000,4,943346474000000,4980,2.137451772757002e-09
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,5000,5,943674155000000,4980,1.855212721545907e-09
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,5000,6,944001836000000,4980,5.749360363329458e-10
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,5000,7,944329517000000,4980,1.0967646940688177e-09
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,5000,8,944657198000000,4980,6.618784681547631e-10
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,5000,9,944984879000000,4980,2.7919341672367267e-09
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,10000,0,419596626000000,9990,1.0332039616136769e-18
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,10000,1,419924307000000,9990,2.8057946806979073e-18
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,10000,2,420251988000000,9990,2.6560462394711206e-18
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,10000,3,420579669000000,9990,5.754390774537352e-19
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,10000,4,420907350000000,9990,1.888904394000554e-17
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,10000,5,421235031000000,9990,1.927815509094806e-18
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,10000,6,421562712000000,9990,1.1652908795777748e-18
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,10000,7,421890393000000,9990,2.0101098689988275e-18
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,10000,8,422218074000000,9990,4.94482647759661e-18
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,PSO_GBEST,10000,9,422545755000000,9990,2.297918079010874e-18
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,ES_1P1,300,0,85783040000000,300,0.02323085215316203
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,ES_1P1,300,1,86110721000000,300,0.02617715200935743
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,ES_1P1,300,2,86438402000000,300,0.019538947566001552
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,ES_1P1,300,3,86766083000000,300,0.011879790428269156
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,ES_1P1,300,4,87093764000000,300,0.021607945964424478
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,ES_1P1,300,5,87421445000000,300,0.02157336441652012
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,ES_1P1,300,6,87749126000000,300,0.060013458099148986
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,ES_1P1,300,7,88076807000000,300,0.007514050674521219
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,ES_1P1,300,8,88404488000000,300,0.004547548096015074
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,ES_1P1,300,9,88732169000000,300,0.014896205858350267
cont,Interp_Sphere_Rastrigin_lam0.00,1,0.0,ES_1P1,500,0,86962690000000,500,0.0002330593785460057
