instance_id,problem,domain,budget,target,target_name,algo_variant,algo_base,successes,trials,succ_rate,beta_mean,beta_p05,beta_p95,mean_best,median_best,min_best,max_best,mean_auc_raw,median_auc_raw,mean_auc_log,median_auc_log,mean_wall_ms
bin::knapsack01::n200::i001,knapsack01,bin,300,8146.611320754717,easy,"GA(pop=50,pc=0.9,pm=0.02)",GA,0,12,0.0,0.07142857142857142,0.0038472923420648443,0.20359435371939424,7929.083333333333,7928.0,7828.0,8043.0,7873.36111111111,7882.166666666666,8.971186349924873,8.972340499627137,4.0
bin::knapsack01::n200::i001,knapsack01,bin,300,8956.232075471698,hard,"GA(pop=50,pc=0.9,pm=0.02)",GA,0,12,0.0,0.07142857142857142,0.004024740773859353,0.20617860382173014,7929.083333333333,7928.0,7828.0,8043.0,7873.36111111111,7882.166666666666,8.971186349924873,8.972340499627137,4.0
bin::knapsack01::n200::i001,knapsack01,bin,300,8588.222641509434,med,"GA(pop=50,pc=0.9,pm=0.02)",GA,0,12,0.0,0.07142857142857142,0.004089593472441732,0.2084614968367419,7929.083333333333,7928.0,7828.0,8043.0,7873.36111111111,7882.166666666666,8.971186349924873,8.972340499627137,4.0
bin::knapsack01::n200::i001,knapsack01,bin,300,8146.611320754717,easy,"GA(pop=50,pc=0.9,pm=0.05)",GA,0,12,0.0,0.07142857142857142,0.004104150781378153,0.2069644863824552,7923.583333333333,7911.0,7834.0,8049.0,7869.777777777778,7870.5,8.970719478738028,8.970868042385963,3.75
bin::knapsack01::n200::i001,knapsack01,bin,300,8956.232075471698,hard,"GA(pop=50,pc=0.9,pm=0.05)",GA,0,12,0.0,0.07142857142857142,0.0039951993165576296,0.20481288550174725,7923.583333333333,7911.0,7834.0,8049.0,7869.777777777778,7870.5,8.970719478738028,8.970868042385963,3.75
bin::knapsack01::n200::i001,knapsack01,bin,300,8588.222641509434,med,"GA(pop=50,pc=0.9,pm=0.05)",GA,0,12,0.0,0.07142857142857142,0.003974540598759304,0.20477345779360392,7923.583333333333,7911.0,7834.0,8049.0,7869.777777777778,7870.5,8.970719478738028,8.970868042385963,3.75
bin::knapsack01::n200::i001,knapsack01,bin,300,8146.611320754717,easy,HC(flips=1),HC,0,12,0.0,0.07142857142857142,0.003836172595023222,0.20626530647530936,7787.583333333333,7750.0,7647.0,8020.0,7662.589444444443,7710.535,8.936742854491646,8.949768793975952,5.333333333333333
bin::knapsack01::n200::i001,knapsack01,bin,300,8956.232075471698,hard,HC(flips=1),HC,0,12,0.0,0.07142857142857142,0.004149939562305621,0.20426745071285088,7787.583333333333,7750.0,7647.0,8020.0,7662.589444444443,7710.535,8.936742854491646,8.949768793975952,5.333333333333333
bin::knapsack01::n200::i001,knapsack01,bin,300,8588.222641509434,med,HC(flips=1),HC,0,12,0.0,0.07142857142857142,0.003988123392674919,0.2080336768006879,7787.583333333333,7750.0,7647.0,8020.0,7662.589444444443,7710.535,8.936742854491646,8.949768793975952,5.333333333333333
bin::knapsack01::n200::i001,knapsack01,bin,300,8146.611320754717,easy,HC(flips=2),HC,1,12,0.08333333333333333,0.14285714285714285,0.027803612635818372,0.3118244393648783,7976.666666666667,7977.0,7756.0,8379.0,7791.3888888888905,7805.775,8.959493609483355,8.962245430313018,5.083333333333333
bin::knapsack01::n200::i001,knapsack01,bin,300,8956.232075471698,hard,HC(flips=2),HC,0,12,0.0,0.07142857142857142,0.00419686032533674,0.2093893285055902,7976.666666666667,7977.0,7756.0,8379.0,7791.3888888888905,7805.775,8.959493609483355,8.962245430313018,5.083333333333333
bin::knapsack01::n200::i001,knapsack01,bin,300,8588.222641509434,med,HC(flips=2),HC,0,12,0.0,0.07142857142857142,0.003938760146240154,0.20594283159774815,7976.666666666667,7977.0,7756.0,8379.0,7791.3888888888905,7805.775,8.959493609483355,8.962245430313018,5.083333333333333
bin::knapsack01::n200::i001,knapsack01,bin,300,8146.611320754717,easy,RS_BIN,RS_BIN,0,12,0.0,0.07142857142857142,0.003986488802575108,0.20259566008990812,7878.416666666667,7865.0,7799.0,8015.0,7813.503055555554,7822.3966666666665,8.963209745899592,8.964479234138004,2.5833333333333335
bin::knapsack01::n200::i001,knapsack01,bin,300,8956.232075471698,hard,RS_BIN,RS_BIN,0,12,0.0,0.07142857142857142,0.0040577520064999035,0.20396396603843356,7878.416666666667,7865.0,7799.0,8015.0,7813.503055555554,7822.3966666666665,8.963209745899592,8.964479234138004,2.5833333333333335
bin::knapsack01::n200::i001,knapsack01,bin,300,8588.222641509434,med,RS_BIN,RS_BIN,0,12,0.0,0.07142857142857142,0.003990020501438277,0.20379106101840264,7878.416666666667,7865.0,7799.0,8015.0,7813.503055555554,7822.3966666666665,8.963209745899592,8.964479234138004,2.5833333333333335
bin::knapsack01::n200::i001,knapsack01,bin,300,8146.611320754717,easy,"SA(T0=1.0,alpha=0.995,flips=1)",SA,0,12,0.0,0.07142857142857142,0.0038558031097145782,0.20528309327119476,7761.166666666667,7754.5,7507.0,7950.0,7690.141944444446,7693.841666666667,8.946544145641257,8.947911617462449,5.333333333333333
bin::knapsack01::n200::i001,knapsack01,bin,300,8956.232075471698,hard,"SA(T0=1.0,alpha=0.995,flips=1)",SA,0,12,0.0,0.07142857142857142,0.0040056112548736604,0.20942532447733178,7761.166666666667,7754.5,7507.0,7950.0,7690.141944444446,7693.841666666667,8.946544145641257,8.947911617462449,5.333333333333333
bin::knapsack01::n200::i001,knapsack01,bin,300,8588.222641509434,med,"SA(T0=1.0,alpha=0.995,flips=1)",SA,0,12,0.0,0.07142857142857142,0.004013599141150543,0.20828064407876412,7761.166666666667,7754.5,7507.0,7950.0,7690.141944444446,7693.841666666667,8.946544145641257,8.947911617462449,5.333333333333333
bin::knapsack01::n200::i001,knapsack01,bin,300,8146.611320754717,easy,"SA(T0=2.0,alpha=0.99,flips=1)",SA,0,12,0.0,0.07142857142857142,0.003970613335973418,0.20544504906878944,7743.666666666667,7742.5,7522.0,8134.0,7663.000277777777,7638.086666666666,8.942467922397759,8.940857566477707,5.25
