problem,instance_id,algo_variant,budget,best,fitness_score
Rastrigin,18,MFO,800,13.926290591589673,0.6336803554856041
Rastrigin,18,MFO,1000,13.295140235355916,0.652461280973595
Rastrigin,18,MFO,1500,10.192824113889788,0.7447758417466056
Rastrigin,18,MFO,2000,11.443601736909654,0.7075568794059073
Rastrigin,18,MFO,3500,11.14225981305193,0.7165238080663795
Rastrigin,18,MFO,5000,8.638067888054762,0.7910401915025662
Rastrigin,18,MFO,8000,10.058704395417868,0.7487667963808109
Rastrigin,18,MFO,12000,10.828108201666057,0.7258719102215896
Rastrigin,18,MFO,15000,9.802652237837284,0.7563860529415712
Rastrigin,18,MFO,20000,7.609764483917137,0.8216390645308553
Rastrigin,18,PSO_GBEST,200,24.82087278083097,0.30949399593112503
Rastrigin,18,PSO_GBEST,300,22.486750046676324,0.3789496885676168
Rastrigin,18,PSO_GBEST,500,17.055008848025054,0.5405801554038552
Rastrigin,18,PSO_GBEST,800,11.081863805529752,0.7183209914250562
Rastrigin,18,PSO_GBEST,1000,8.127923886700689,0.8062203722359633
Rastrigin,18,PSO_GBEST,1500,6.262723180223888,0.8617225123242989
Rastrigin,18,PSO_GBEST,2000,4.467389792868034,0.9151456344710361
Rastrigin,18,PSO_GBEST,3500,2.210304099695185,0.9823089622023918
Rastrigin,18,PSO_GBEST,5000,1.5255087745197182,1.0
Rastrigin,18,PSO_GBEST,8000,1.726112445471075,0.996716887810093
