domain,budget,target,algo_variant,n_instances,mean_metric,median_metric,std_metric,mean_p05,mean_p95,rank
cont,2000,0.001,HC_CONT(sigma=0.2),23,0.03125,0.03125,0.0,0.0016670022862769651,0.09173810373504061,6
cont,2000,0.001,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",23,0.03125,0.03125,0.0,0.001642639443137013,0.0920152743611218,7
cont,2000,0.001,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",23,0.03125,0.03125,0.0,0.0016931535063172912,0.09154853398168426,8
cont,2000,0.001,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",23,0.03125,0.03125,0.0,0.0016562545414272826,0.09200679580939393,9
cont,2000,0.001,RS_CONT,23,0.03125,0.03125,0.0,0.0017053068833268522,0.09230738842651832,10
cont,2000,0.001,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",23,0.03125,0.03125,0.0,0.0016910606913937089,0.09194178376157813,11
cont,2000,0.01,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",20,0.0828125,0.03125,0.20908512927249212,0.048471627562633006,0.14580764582030875,1
cont,2000,0.01,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",20,0.0796875,0.03125,0.20937990960465291,0.04764534647790146,0.1390445895768719,2
cont,2000,0.01,"DE(pop=20,F=0.8,CR=0.9)",20,0.078125,0.03125,0.2096313728906053,0.046895218307735805,0.13800806930389142,3
cont,2000,0.01,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",20,0.078125,0.03125,0.2096313728906053,0.047183773760225874,0.13706498477889867,4
cont,2000,0.01,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",20,0.05625,0.03125,0.11180339887498947,0.020694095943875418,0.12077867377984389,5
cont,2000,0.01,"ES_ML(mu=10,lam=40,sigma=0.3)",20,0.0328125,0.03125,0.006987712429686842,0.002240394762125995,0.0942207384840468,6
cont,2000,0.01,"DE(pop=40,F=0.8,CR=0.9)",20,0.03125,0.03125,0.0,0.001684760279993585,0.09071951350012308,7
cont,2000,0.01,"ES_ML(mu=20,lam=80,sigma=0.2)",20,0.03125,0.03125,0.0,0.0016130678529123299,0.09179777522440914,8
cont,2000,0.01,HC_CONT(sigma=0.2),20,0.03125,0.03125,0.0,0.001586370012462025,0.09190835748900239,9
cont,2000,0.01,RS_CONT,20,0.03125,0.03125,0.0,0.00168972460161202,0.0923234310049332,10
cont,2000,0.01,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",20,0.03125,0.03125,0.0,0.0017364748238269448,0.09257549619935095,11
cont,5000,1e-06,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",17,0.8033088235294118,0.96875,0.3683930849968949,0.7471462316182924,0.8383715575684992,1
cont,5000,1e-06,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",17,0.6231617647058824,0.96875,0.4422828116465088,0.5619400685981305,0.6764486036111801,2
cont,5000,1e-06,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",17,0.5974264705882353,0.96875,0.4449535769737835,0.5379721168051584,0.6501246076590927,3
cont,5000,1e-06,"DE(pop=20,F=0.8,CR=0.9)",17,0.5275735294117647,0.96875,0.48233977071330614,0.4811964292893272,0.5713826641034846,4
cont,5000,1e-06,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",17,0.2536764705882353,0.03125,0.320194786476552,0.18608697209517322,0.33827705992923246,5
cont,5000,1e-06,"DE(pop=40,F=0.8,CR=0.9)",17,0.04044117647058824,0.03125,0.03789619141192703,0.006798738945621717,0.1049387426441373,6
cont,5000,1e-06,"ES_ML(mu=10,lam=40,sigma=0.3)",17,0.03308823529411765,0.03125,0.007579238282385405,0.002279296460142441,0.09437222144977894,7
cont,5000,1e-06,"ES_ML(mu=20,lam=80,sigma=0.2)",17,0.03125,0.03125,0.0,0.0016177107282267765,0.09086799672597146,8
cont,5000,1e-06,HC_CONT(sigma=0.2),17,0.03125,0.03125,0.0,0.0016642252452616765,0.09150070943531724,9
cont,5000,1e-06,RS_CONT,17,0.03125,0.03125,0.0,0.0016988692615149705,0.09141939559093931,10
cont,5000,1e-06,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",17,0.03125,0.03125,0.0,0.0016259496321462648,0.09149145875841744,11
cont,5000,0.001,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",23,0.24320652173913043,0.03125,0.3619849056070595,0.1907559832735966,0.3134974072207238,1
