algo,rung,score,seconds,params_json,pop,fmax,A0,r0,local_step
BA,rung1,-0.04570106185371087,1.1432504653930664,"{""A0"": 0.664164256394711, ""fmax"": 2.7599145575122273, ""local_step"": 0.00857296942070506, ""pop"": 65, ""r0"": 0.9270098862937578}",65,2.7599145575122273,0.664164256394711,0.9270098862937578,0.00857296942070506
BA,rung1,-0.042010406107530485,1.372063159942627,"{""A0"": 0.48951722527467967, ""fmax"": 3.8054581872411144, ""local_step"": 3.535792027918619e-05, ""pop"": 53, ""r0"": 0.3544728407000619}",53,3.8054581872411144,0.48951722527467967,0.3544728407000619,3.535792027918619e-05
BA,rung1,-0.07875322821036113,1.1473288536071777,"{""A0"": 0.39339901136089606, ""fmax"": 3.7079364137407427, ""local_step"": 0.0002000353429553601, ""pop"": 52, ""r0"": 0.9489708273016046}",52,3.7079364137407427,0.39339901136089606,0.9489708273016046,0.0002000353429553601
BA,rung1,-0.11286813193772177,1.2722525596618652,"{""A0"": 0.4851104105458509, ""fmax"": 1.747754604530273, ""local_step"": 1.5752047374185037e-05, ""pop"": 33, ""r0"": 0.8325692271718078}",33,1.747754604530273,0.4851104105458509,0.8325692271718078,1.5752047374185037e-05
BA,rung1,0.1825249843870143,1.3305184841156006,"{""A0"": 0.6872084966494065, ""fmax"": 0.828240005818147, ""local_step"": 0.014200819389527393, ""pop"": 51, ""r0"": 0.4803577433601681}",51,0.828240005818147,0.6872084966494065,0.4803577433601681,0.014200819389527393
BA,rung1,-0.012282261151588092,1.3284258842468262,"{""A0"": 0.7979845175416276, ""fmax"": 1.433690725428453, ""local_step"": 4.889439409551548e-05, ""pop"": 38, ""r0"": 0.6105398639488159}",38,1.433690725428453,0.7979845175416276,0.6105398639488159,4.889439409551548e-05
BA,rung1,-0.014633709937767858,1.2776210308074951,"{""A0"": 0.8879991429361274, ""fmax"": 2.8418848174582365, ""local_step"": 0.0007504245703666815, ""pop"": 57, ""r0"": 0.6823902400380343}",57,2.8418848174582365,0.8879991429361274,0.6823902400380343,0.0007504245703666815
BA,rung1,-0.024644004481476245,1.2335419654846191,"{""A0"": 0.7322344351695802, ""fmax"": 4.114336155374652, ""local_step"": 0.002079447946182427, ""pop"": 67, ""r0"": 0.620672903275784}",67,4.114336155374652,0.7322344351695802,0.620672903275784,0.002079447946182427
BA,rung1,-0.05324516894779979,1.2157611846923828,"{""A0"": 0.3078136040126494, ""fmax"": 4.157528622294898, ""local_step"": 0.028505308173827085, ""pop"": 38, ""r0"": 0.8471570130009439}",38,4.157528622294898,0.3078136040126494,0.8471570130009439,0.028505308173827085
BA,rung1,-0.005135943463780379,1.3980686664581299,"{""A0"": 0.9310150317655663, ""fmax"": 1.609212697384137, ""local_step"": 5.917886804799921e-05, ""pop"": 41, ""r0"": 0.4728647293499676}",41,1.609212697384137,0.9310150317655663,0.4728647293499676,5.917886804799921e-05
BA,rung1,-0.05866197940995199,1.3808314800262451,"{""A0"": 0.4215060209694962, ""fmax"": 2.245385060940059, ""local_step"": 0.00011985698807678275, ""pop"": 45, ""r0"": 0.4765800373008746}",45,2.245385060940059,0.4215060209694962,0.4765800373008746,0.00011985698807678275
BA,rung1,0.09998151134256067,1.4409406185150146,"{""A0"": 0.4587705242568369, ""fmax"": 1.0828729112337876, ""local_step"": 0.008985583937650135, ""pop"": 68, ""r0"": 0.1400565324596062}",68,1.0828729112337876,0.4587705242568369,0.1400565324596062,0.008985583937650135
BA,rung1,-0.01769650592851285,1.1515624523162842,"{""A0"": 0.3771738815698907, ""fmax"": 1.3351691424705843, ""local_step"": 0.00016608516741010345, ""pop"": 76, ""r0"": 0.8456239270696995}",76,1.3351691424705843,0.3771738815698907,0.8456239270696995,0.00016608516741010345
BA,rung1,-0.05216829489872049,1.1725666522979736,"{""A0"": 0.8697654925346576, ""fmax"": 4.441082238455213, ""local_step"": 0.0012136583729237026, ""pop"": 51, ""r0"": 0.8502952633311595}",51,4.441082238455213,0.8697654925346576,0.8502952633311595,0.0012136583729237026
BA,rung1,-0.08624646397654656,1.3299639225006104,"{""A0"": 0.8152489463592962, ""fmax"": 3.8813305908590774, ""local_step"": 0.001420779403572813, ""pop"": 39, ""r0"": 0.5983783236949992}",39,3.8813305908590774,0.8152489463592962,0.5983783236949992,0.001420779403572813
BA,rung1,0.24092207829147372,1.3947365283966064,"{""A0"": 0.3997139475243968, ""fmax"": 2.279662935449605, ""local_step"": 0.023140191271525685, ""pop"": 46, ""r0"": 0.3686391700596505}",46,2.279662935449605,0.3997139475243968,0.3686391700596505,0.023140191271525685
BA,rung1,-0.008168537623562067,1.3019587993621826,"{""A0"": 0.4663010096045107, ""fmax"": 4.440233278913834, ""local_step"": 0.005881654617808435, ""pop"": 39, ""r0"": 0.6307446024271868}",39,4.440233278913834,0.4663010096045107,0.6307446024271868,0.005881654617808435
BA,rung1,0.20675596102275878,1.4322845935821533,"{""A0"": 0.5616997693205992, ""fmax"": 3.9923429258610974, ""local_step"": 0.0169619945931175, ""pop"": 52, ""r0"": 0.28311724606745986}",52,3.9923429258610974,0.5616997693205992,0.28311724606745986,0.0169619945931175
BA,rung1,-0.09613305687479917,1.309753179550171,"{""A0"": 0.3965746493742964, ""fmax"": 1.178622071125263, ""local_step"": 0.0001569267336372239, ""pop"": 24, ""r0"": 0.7259482079789592}",24,1.178622071125263,0.3965746493742964,0.7259482079789592,0.0001569267336372239
BA,rung1,-0.09212278312094113,1.5842235088348389,"{""A0"": 0.6589610626164939, ""fmax"": 4.047701823911412, ""local_step"": 0.0005940177597414074, ""pop"": 33, ""r0"": 0.13334429053257796}",33,4.047701823911412,0.6589610626164939,0.13334429053257796,0.0005940177597414074
BA,rung1,0.739451937799833,1.4742536544799805,"{""A0"": 0.3673718083645614, ""fmax"": 2.652596563947784, ""local_step"": 0.05415602351935451, ""pop"": 35, ""r0"": 0.24162043919757278}",35,2.652596563947784,0.3673718083645614,0.24162043919757278,0.05415602351935451
BA,rung1,-0.006106364260467401,1.4049344062805176,"{""A0"": 0.7908554810946552, ""fmax"": 2.2831855264485155, ""local_step"": 0.00036369905008493716, ""pop"": 72, ""r0"": 0.2578014224682158}",72,2.2831855264485155,0.7908554810946552,0.2578014224682158,0.00036369905008493716
BA,rung1,0.2561624811745422,1.3402988910675049,"{""A0"": 0.5228619474205642, ""fmax"": 2.6210561132168677, ""local_step"": 0.02077756301361052, ""pop"": 73, ""r0"": 0.4227893982272064}",73,2.6210561132168677,0.5228619474205642,0.4227893982272064,0.02077756301361052
BA,rung1,-0.0005519209006497605,1.3823285102844238,"{""A0"": 0.47026520238138037, ""fmax"": 1.7128920438478967, ""local_step"": 0.001264188592455192, ""pop"": 67, ""r0"": 0.23530906779969132}",67,1.7128920438478967,0.47026520238138037,0.23530906779969132,0.001264188592455192
BA,rung1,0.07859919224617251,1.3458914756774902,"{""A0"": 0.3171781250133148, ""fmax"": 3.824293935366573, ""local_step"": 0.02227600820400428, ""pop"": 44, ""r0"": 0.48948684769130113}",44,3.824293935366573,0.3171781250133148,0.48948684769130113,0.02227600820400428
BA,rung1,-0.053905368701315015,1.232215404510498,"{""A0"": 0.3752582757327474, ""fmax"": 4.165392869116518, ""local_step"": 0.0776343374833257, ""pop"": 27, ""r0"": 0.915800379511453}",27,4.165392869116518,0.3752582757327474,0.915800379511453,0.0776343374833257
BA,rung1,-0.01780264848307267,1.307086706161499,"{""A0"": 0.36400364166683485, ""fmax"": 3.179402060383655, ""local_step"": 0.0016809823203397004, ""pop"": 79, ""r0"": 0.320780821920576}",79,3.179402060383655,0.36400364166683485,0.320780821920576,0.0016809823203397004
