domain,problem,instance_id,n,budget,algo,seed,final_best,improve_rel,auc_progress,p10_progress,p50_progress,p90_progress,stagnation_frac,div_mean,div_decay,step_mean,step_decay,step_burst
cont,sphere,sphere_d10_i003,10,5000,WOA,2,0.004993661217269333,0.3583582697898445,0.7499999999986638,0.0,0.9999999999982184,0.9999999999982184,0.5,0.06576165041318756,0.020328774313405625,0.24937506441529314,0.0,1.35080065108991
cont,sphere,sphere_d10_i003,10,5000,SA,0,2.259173975253649,0.7845693581641127,0.8831605440383947,0.7738543047791526,0.885325328629158,0.9999999999999157,0.8775510204081632,0.0,0.0,0.5014465240714484,0.0,0.3490858137402439
cont,sphere,sphere_d10_i003,10,5000,SA,1,2.467156862833754,0.7795270461124613,0.8935691112198002,0.5302074943866162,0.96791235061391,0.9999999999999184,0.8571428571428572,0.0,0.0,0.5185904458261298,0.0,0.27533173671471745
cont,sphere,sphere_d10_i003,10,5000,SA,2,1.9868709617480045,0.7472053295336919,0.9370735988416297,0.8463627144977194,0.971594469910312,0.9999999999998868,0.8979591836734694,0.0,0.0,0.4981449107481877,0.0,0.2595332233671331
cont,sphere,sphere_d10_i003,10,5000,HC,0,0.9624326209275531,0.8966029743761316,0.862863452576916,0.571310300614172,0.9999999999999414,0.9999999999999414,0.8775510204081632,0.0,0.0,0.641806240384225,0.0,0.2805682539075466
cont,sphere,sphere_d10_i003,10,5000,HC,1,1.9089355315330017,0.8579296029834611,0.9445768353129547,0.8149257194371964,0.9673981669114737,0.9999999999999432,0.9183673469387755,0.0,0.0,0.6138474196684061,0.0,0.3242132331119929
cont,sphere,sphere_d10_i003,10,5000,HC,2,1.67204548753959,0.8935300039894477,0.9511372715312844,0.8303936571434061,0.9999999999999555,0.9999999999999555,0.9183673469387755,0.0,0.0,0.5572222327917931,0.0,0.2663668957100521
cont,sphere,sphere_d10_i004,10,5000,PSO,0,5.066845710630731,0.2746609444061896,0.7499999999996735,0.0,0.9999999999995647,0.9999999999995647,0.5,0.002349941175617368,0.020505180046962487,0.009686607786979759,0.0,1.3884010973990217
cont,sphere,sphere_d10_i004,10,5000,PSO,1,0.4554076919106069,0.0031725173661221297,0.7499999998380829,0.0,0.9999999997841105,0.9999999997841105,0.5,0.002309445343999525,0.007383219950540939,0.008827769592511994,0.0,1.3985750764148255
cont,sphere,sphere_d10_i004,10,5000,PSO,2,1.8173150878268371,6.728764086735259e-05,0.7499999960439542,0.0,0.9999999947252722,0.9999999947252722,0.5,0.0016701023806651885,0.006224397961795685,0.008097420271188807,0.0,1.407932772013113
cont,sphere,sphere_d10_i004,10,5000,DE,0,0.03629842184857909,0.5528763341147412,0.7499999999994147,0.0,0.9999999999992195,0.9999999999992195,0.5,0.02391741067472124,0.1764669097150664,0.11476250965675155,0.0,1.1375680926437488
cont,sphere,sphere_d10_i004,10,5000,DE,1,0.054668658506455074,0.5117358018954493,0.7499999999993214,0.0,0.9999999999990953,0.9999999999990953,0.5,0.02689420271273808,0.20750710298720124,0.12161685637651692,0.0,1.071753803206634
cont,sphere,sphere_d10_i004,10,5000,DE,2,0.07165808975805416,0.6061650077405591,0.7499999999995453,0.0,0.9999999999993937,0.9999999999993937,0.5,0.02952388067977187,0.22373996916394828,0.1383866340668776,0.0,1.055577539692111
cont,sphere,sphere_d10_i004,10,5000,ES,0,0.06581763059959049,0.0,0.0,0.0,0.0,0.0,1.0,0.007974835390412377,0.9999999998746055,0.0286727754675443,0.9999999999651238,0.0
cont,sphere,sphere_d10_i004,10,5000,ES,1,0.305231725386181,0.0,0.0,0.0,0.0,0.0,1.0,0.017423801488268994,0.9999999999426074,0.2234941198809563,0.9999999999955256,0.0
cont,sphere,sphere_d10_i004,10,5000,ES,2,6.838952123391942,0.0,0.0,0.0,0.0,0.0,1.0,0.081562696489681,0.9999999999877395,1.4912474540665694,0.9999999999993293,0.0
cont,sphere,sphere_d10_i004,10,5000,GWO,0,0.0028400497313195027,0.4014028925261874,0.7499999999988847,0.0,0.999999999998513,0.999999999998513,0.5,0.023359857055236743,0.028861891655223997,0.10488502231181092,0.0,1.3318910026296866
cont,sphere,sphere_d10_i004,10,5000,GWO,1,0.002732378455174769,0.3572036706754778,0.7499999999986541,0.0,0.9999999999982054,0.9999999999982054,0.5,0.02265757669881437,0.02990967449452332,0.1084992072252643,0.0,1.3328251081544773
cont,sphere,sphere_d10_i004,10,5000,GWO,2,0.001896133779445857,0.3656551777657322,0.7499999999987014,0.0,0.9999999999982685,0.9999999999982685,0.5,0.020986935330755976,0.03356860367467407,0.1063866454102712,0.0,1.338282713277015
cont,sphere,sphere_d10_i004,10,5000,WOA,0,0.007165971181989639,0.2708729343191145,0.7499999999979956,0.0,0.9999999999973275,0.9999999999973275,0.5,0.05127551765336869,0.044022057085736935,0.18110740371502324,0.0,1.3036454299315803
cont,sphere,sphere_d10_i004,10,5000,WOA,1,0.0025979862112895445,0.24156096995178575,0.7499999999976514,0.0,0.9999999999968685,0.9999999999968685,0.5,0.05969898213100935,0.02729770420268846,0.19689362217513018,0.0,1.349038545295137
cont,sphere,sphere_d10_i004,10,5000,WOA,2,0.003752733599749115,0.1344919622970961,0.7499999999951915,0.0,0.9999999999935887,0.9999999999935887,0.5,0.07314965362487731,0.021408482663552254,0.23627235804987237,0.0,1.346068484240533
cont,sphere,sphere_d10_i004,10,5000,SA,0,4.213179949566512,0.5606571486855385,0.9519080725969216,0.9131997118424363,0.9999999999998497,0.9999999999998497,0.9183673469387755,0.0,0.0,0.5075574270218312,0.0,0.2639027450399719
cont,sphere,sphere_d10_i004,10,5000,SA,1,3.196197080911457,0.4806990612158224,0.7702124866304997,0.1812712703648717,0.9829899596760573,0.9999999999997425,0.8775510204081632,0.0,0.0,0.49641201374475313,0.0,0.306438029312312
cont,sphere,sphere_d10_i004,10,5000,SA,2,1.9486005431638012,0.7166518118661218,0.8438249896111155,0.392042963384038,0.9999999999998659,0.9999999999998659,0.8979591836734694,0.0,0.0,0.5200027546024338,0.0,0.2992288468963946
cont,sphere,sphere_d10_i004,10,5000,HC,0,4.717948868986372,0.6587973025307362,0.9300735284035183,0.7754729981358367,0.9999999999999094,0.9999999999999094,0.8775510204081632,0.0,0.0,0.6648804037698739,0.0,0.27646132612443824
cont,sphere,sphere_d10_i004,10,5000,HC,1,3.3992475204288075,0.5259483080685498,0.8452269368747691,0.5882656008035905,0.9243446579011872,0.999999999999795,0.9387755102040817,0.0,0.0,0.5991573475955891,0.0,0.2870514174779761
cont,sphere,sphere_d10_i004,10,5000,HC,2,4.529988931476238,0.5045882518316788,0.9336395270488039,0.8899357992971197,0.9482317545372138,0.9999999999998225,0.9183673469387755,0.0,0.0,0.5992569868934685,0.0,0.29965854256154634
cont,rastrigin,rastrigin_d5_i000,5,2500,PSO,0,6.496293263074122,0.0,0.0,0.0,0.0,0.0,1.0,0.03738257257078371,0.9999999999732496,0.06317185629784645,0.9999999999841701,0.0
cont,rastrigin,rastrigin_d5_i000,5,2500,PSO,1,5.974304058546068,0.0,0.0,0.0,0.0,0.0,1.0,0.04400406021751969,0.9999999999772748,0.07734431683453101,0.9999999999870707,0.0
cont,rastrigin,rastrigin_d5_i000,5,2500,PSO,2,12.241417834185619,0.0,0.0,0.0,0.0,0.0,1.0,0.05741983865916168,0.9999999999825845,0.10255250805136784,0.9999999999902488,0.0
cont,rastrigin,rastrigin_d5_i000,5,2500,DE,0,18.40585925066597,0.0,0.0,0.0,0.0,0.0,1.0,0.1315801723544583,0.9486255302808249,0.3315484849801377,0.0,0.7071696579228104
cont,rastrigin,rastrigin_d5_i000,5,2500,DE,1,7.516352066086796,0.48295201887634204,0.7499999999999057,0.0,0.9999999999998743,0.9999999999998743,0.5,0.12109287703381222,1.005459016168215,0.284040534117651,0.0,0.7097367597171798
cont,rastrigin,rastrigin_d5_i000,5,2500,DE,2,13.835710796260415,0.0,0.0,0.0,0.0,0.0,1.0,0.11434069008839576,0.9537827164320064,0.2524102707442002,0.0,0.7105666136983415
cont,rastrigin,rastrigin_d5_i000,5,2500,ES,0,23.224205013183443,0.0,0.0,0.0,0.0,0.0,1.0,0.12303081711581267,0.999999999991872,0.4866051153545132,0.999999999997945,0.0
cont,rastrigin,rastrigin_d5_i000,5,2500,ES,1,8.983671343185307,0.0,0.0,0.0,0.0,0.0,1.0,0.05580394211677556,0.9999999999820801,0.29652252356484254,0.9999999999966277,0.0
